Date,Name,Dollars Investment,Logo,Tags
Mar 2011,Stripe,$2000000,Stripe,Payments
Nov 2010,Topguest,$2000000,Topguest,IT
Aug 2010,YouAre.TV,$1150000,YouAre.TV,TV
Apr 2009,Asana,$1200000,Asana,IT
Sep 2008,AdRoll,$4000000,AdRoll,Marketing Automation
May 2008,Labmeeting,$500000,Labmeeting,Social Network
Jan 2008,Zynga,$10000000,Zynga,Gaming
Dec 2007,Hooja,$1250000,Hooja,Mobile
Nov 2007,Clickable,$3000000,Clickable,Search Engine
Sep 2007,OpTrip,$500000,OpTrip,Travel
Sep 2007,Salesforce Buddy Media,$1500000,Salesforce Buddy Media,Social Media
Aug 2007,Mogad,$500000,Mogad,Messaging
Jun 2007,Big Think,$500000,Big Think,Politics
Mar 2007,FlickIM,$1600000,FlickIM,Messaging
Mar 2007,Redux,$1650000,Redux,Social,Media
Jun 2006,Rapleaf,$1000000,Rapleaf,Messaging
Jan 2006,Badongo.com,$500000,Badongo.com,Web Hosting
Jan 2005,Joyent,$500000,Joyent,Web Hosting
Sep 2004,Facebook,$500000,Facebook,Social Media
Jun 2002,IronPort Systems,$16500000,IronPort Systems,Cybersecurity
Nov 2001,IronPort Systems,$3900000,IronPort Systems,Cybersecurity
Jan 1999,PayPal,$500000,PayPal,Payments		
Aug 2017,Auris Surgical Robotics,$280210000,Auris Surgical,Robotics	
Jun 2017,Avitide,$500000,Avitide,Health,Care
Nov 2016,Classy,$30000000,Classy,Fintech
Sep 2016,Avitide,$500000,Avitide,Health Care
Jun 2016,Spaceflight Industries,$25000000,Spaceflight,Industries,Aerospace
Jun 2016,Performance Horizon,$15400000,Performance Horizon,Marketing
May 2016,Stem,$15000000,Stem,Marketing
Nov 2015,Fractyl Laboratories,$57000000,Fractyl Laboratories,Health Care
Oct 2015,AppDirect,$140000000,AppDirect,SaaS
Sep 2015,Auris Surgical Robotics,$149550000,Auris Surgical,Robotics	
Aug 2015,C2FO,$40000000,C2FO,Payments
Jun 2015,Classy,$18000000,Classy,Crowdfunding
Feb 2015,AppDirect,$50000000,AppDirect,SaaS
Sep 2014,Performance Horizon,$10000000,Performance,Horizon	
Sep 2014,Palantir Technologies,$444180000,Palantir Technologies,Marketing
Sep 2014,Fractyl Laboratories,$19760000,Fractyl Laboratories,Health Care
Aug 2014,DoubleDutch,$15000000,DoubleDutch,Marketing Automation
Aug 2014,Helion Energy,$1500000,Helion Energy,Energy
Aug 2014,Lookout,$150000000,Lookout,Cyber Security
Apr 2014,SilverRail Technologies,$40000000,SilverRail Technologies,Travel
Apr 2014,AppDirect,$35000000,AppDirect,SaaS
Mar 2014,Auris Surgical Robotics,$34380000,Auris Surgical,Robotics	
Oct 2013,Lookout,$55000000,Lookout,Cyber Security
Jul 2013,C2FO,$18000000,C2FO,Marketplace